Hotel_Address;Additional_Number_of_Scoring;Review_Date;Average_Score;Hotel_Name;Reviewer_Nationality;Negative_Review;Review_Total_Negative_Word_Counts;Total_Number_of_Reviews;Positive_Review;Review_Total_Positive_Word_Counts;Total_Number_of_Reviews_Reviewer_Has_Given;Reviewer_Score;Tags;days_since_review;lat;lng
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/28/2016;8.5;K K Hotel George; United States of America ;Just walking in the reception could be made a bit more comfortable perhaps seating for more than 1 person a table for brochures Also we found that the area had many good local restaurants which could be printed on a simple map as well as grocery stores hairdresser etc These were in walking distance to the hotel and would be a great help for first time visitors;69;1831; House keeping quality and service very good Even folded our clothes Breakfast was unbelievable You even had stewed prunes First floor room was clean comfortable and very quiet Loved the morning newspapers and availability of little lounge for afterdinner coffee and drinks Liked the breakfast being made available with room price Obtaining a cab at desk was very quick and their services the cab was quality also Would consider staying here again ;74;1;9.6;[' Leisure trip ', ' Family with older children ', ' Classic Triple Room ', ' Stayed 9 nights '];309 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/27/2016;8.5;K K Hotel George; Germany ;No Negative;0;1831; Although the rooms are small they are comfortable and cozy and we found the hotel to be a great spot to rest and relax after running around the city Breakfast was included making the price a little more reasonable than many hotels in this very expensive city ;49;1;9.5;[' Family with young children ', ' Classic Triple Room ', ' Stayed 1 night '];310 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/27/2016;8.5;K K Hotel George; United Kingdom ; Nothing could have been better honestly and I m very critical and picky ;15;1831; I love everything about this hotel it s in a perfect location round the corner from the tube but in a quiet street The breakfast caters for all tastes and is plentiful and delicious The rooms and beds are comfortable and very clean the staff can t do enough for you The whole feel of the hotel is up to and excelling in some cases the standard of an expensive West End hotel but with a cosy feel to it It s my favourite hotel in London and I ve stayed in quite a few ;97;8;10;[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 1 night '];310 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/25/2016;8.5;K K Hotel George; Oman ;No Negative;0;1831; This is the second time I stay in this hotel It s clean and bed is calling my comfortable Also the vote is near by earls court underground station and the street is full of restaurants coffee shops and supermarkets;41;14;10;[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device '];312 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/19/2016;8.5;K K Hotel George; Germany ;No Negative;0;1831;close to city center 3mins away from Tube station very clean and comfortable rooms very friendly and professional staff excellent breakfast;22;3;10;[' Leisure trip ', ' Family with older children ', ' Classic Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device '];318 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/18/2016;8.5;K K Hotel George; Lebanon ;It took them 3 days to charge our card minutes before the client arrived inconvenient and stressful to deal with i had to repeat the story to 3 different staff poor english from staff we cant book for our employees there again;43;1831;No Positive;0;46;4.2;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 5 nights '];319 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;9/4/2016;8.5;K K Hotel George; United States of America ; The breakfast was expensive and not what every traveler would want early in the morning It would have been nice if coffee was offered in the bar for people that werent dining We would have been happy to pay for it too Instead we had to walk a block every morning to get take out coffee so we could drink it while we all showered for the day We noticed many guests doing the same ;77;1831; This hotel was a great value near the tube station in Earl s Court It was one of the few places in London that offered three twin beds in one room which was perfect for us since we were traveling with our daughter It was very clean and charming with comfortable beds and in a lovely quiet neighborhood proximate to transportation to everything There was a nice little lounge bar in the lobby that we stopped into every night after our touring ;84;13;9.2;[' Leisure trip ', ' Couple ', ' Classic Triple Room ', ' Stayed 3 nights '];333 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/28/2016;8.5;K K Hotel George; United Kingdom ; Why carp when there is nothing to carp about ;11;1831; Staff are well mannered and provide high standards of service Breakfast buffet is first rate Easy access to rest of London esp Old Brompton Road and Knotting Hill ;30;2;10;[' Leisure trip ', ' Family with older children ', ' Classic Triple Room ', ' Stayed 7 nights ', ' Submitted from a mobile device '];340 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/28/2016;8.5;K K Hotel George; Switzerland ; The official price is a bit high unless you can take advantage of a good offer like I did ;21;1831; Location is very useful for Heathrow as taking the tube is safer than taxi if you don t want to miss your flight The place is very clean room size is fine and staff is very good ;39;25;8.8;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night '];340 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/25/2016;8.5;K K Hotel George; France ; The room temp was a little warm and the windows didn t really open It was very hot in London while I was there so it wasn t really under their control;33;1831; Great location easy transportation to everything Walking distance to restaurants and grocery stores Room was very quiet and comfortable;20;1;8.3;[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device '];343 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/23/2016;8.5;K K Hotel George; United States of America ; The ATM machine malfunctioned and a more timely out of service notice would have eliminated some stress ;19;1831; The breakfast selections were plentiful and and the attention to service was appreciated We especially liked the orderly way seating at breakfast was handled Great taxi service was provided when requested ;33;2;9.6;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 7 nights '];345 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/18/2016;8.5;K K Hotel George; United Kingdom ; The bathroom was cramped It was hard for someone adult sized to go to the toilet or use the shower easily The shower spilled water out all over the floor There was nowhere to put your dry clothes the sink area vanity splashed so it was wet and the hook behind the door was tiny and things fell off it Water from the shower would have reached it anyway as there was no door screen to the shower in that direction The breakfast was very disappointing It was lukewarm and the eggs tasted highly of vinegar We had to ask for extra teabags as the tea brought to us was very weak and not brewing well I also felt that the sausages were not entirely cooked The bacon was quite watery The selection of food was on the small side and in all it could have been cooked served better ;152;1831; The beds and decor were nice It was an easy walk from the tube station and there were plenty of food establishments still open around it late at night We chose this hotel because three adults could stay in the one room in three separate beds which is a rare thing to find in accommodation Extra pillows and a toothbrush set were brought promptly on request ;68;2;7.5;[' Leisure trip ', ' Group ', ' Classic Triple Room ', ' Stayed 1 night '];350 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/16/2016;8.5;K K Hotel George; Australia ; Air conditioning didn t cope with the really hot weather but luckily had big windows we could open to cool the room down at night ;27;1831; We had a fantastic stay at the K K George Very easy access to Earls Court tube which goes straight to Heathrow as well as being a great start to explore London easily Quiet street just behind the main shops and a lovely garden to have an evening drink in Room was very comfortable and well serviced Breakfast had lots of choice Really a lovely base for a holiday in London ;73;12;10;[' Leisure trip ', ' Family with older children ', ' Classic Triple Room ', ' Stayed 4 nights '];352 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/13/2016;8.5;K K Hotel George; Qatar ; Bed sheets pillows and carpet could be cleaner bugs ;11;1831;Location Close to some shops and restaurants only 3 minutes walk Underground 4 minutes walk Polite and assistive staff Room space is good;24;33;7.1;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 4 nights '];355 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/4/2016;8.5;K K Hotel George; United Kingdom ; Nothing really A lower price is always good of course ;12;1831; Excellent location quiet but easy access to transport Quiet room plenty big enough very clean with attractive garden views Very good breakfast Friendly and helpful staff Would be very happy to stay there again ;36;40;9.6;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night '];364 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;8/3/2016;8.5;K K Hotel George; United Arab Emirates ; WiFi was a bit slow ;7;1831; Location was excellent as it was very close to Earls Court station and to the main High street Staff were friendly and breakfast was really good We were given the executive room which has direct access to the beautiful garden My whole family loved this hotel and for sure will book it again when I travel to London ;60;3;9.6;[' Leisure trip ', ' Family with older children ', ' Classic Triple Room ', ' Stayed 7 nights '];365 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/27/2016;8.5;K K Hotel George; Russia ; Housekeeping staff were rude shower had water pressure and temperature problems and the hotel has double charged me and has yet to solve the issue ;27;1831; Great food very nice bar staff;7;1;4.2;[' Leisure trip ', ' Family with young children ', ' Classic Triple Room ', ' Stayed 3 nights '];372 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/19/2016;8.5;K K Hotel George; United States of America ;Ex Suite was extremely small smaller then our yacht cabin the week before The temperature of the room could not be lower than 18 degrees which wasn t cool enough;32;1831;No Positive;0;1;6;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];380 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/17/2016;8.5;K K Hotel George; Sweden ; The bathroom is on the smaller side ;9;1831;Excellent location on a quiet street just around the corner from Earl s Court tube station Easy acess from Heathrow Airport 35 minutes by underground A garden at the back adds great value on a summer s day;40;1;9.6;[' Leisure trip ', ' Group ', ' Classic Triple Room ', ' Stayed 3 nights '];382 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/7/2016;8.5;K K Hotel George; United Kingdom ; the room was a little small and the shower ran hot and cold ;15;1831; It is a smart comfortable hotel and our room was quiet which was something I specifically asked for but ;21;1;9.2;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 3 nights '];392 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/5/2016;8.5;K K Hotel George; Ireland ;Room was small but adequate There was old toothpaste under a rim of the washbasin which was never reached by the cleaner even though I put some paper on it to indicate its existence Fire alarm went off at 2 am and we were all in the street for a while All was eventually sorted but no general instructions or explanation;63;1831; A lovely choice at breakfast with freshly cooked food Staff were pleasant and helpful Good late checkout time ;20;5;7.5;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];394 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;7/2/2016;8.5;K K Hotel George; United Kingdom ;Fire alarm and semi evacuation at 2 am little or no direction by staff Reason for alarm a guest had caused an electrical short was announced by Fire officer for benefit of those near enough to hear No subsequent acknowledgement or customer relations gesture by hotel e g perhaps a small discount on checkout other than being told somewhat curtly that it wasn t the fault of the hotel Some guests noticed from the street that a number of bedrooms had remained occupied throughout the incident;88;1831; Convenient location for our purpose Clean and comfortable rooms;10;12;6.7;[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 2 nights '];397 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/28/2016;8.5;K K Hotel George; United Kingdom ; The room it was fairly small It wasn t a problem for us as we spent very little time in the room but it was rather compact and may be a problem for those who need to use the room longer than we did ;46;1831; Staff were very friendly and accommodating and the bed was very comfy ;14;2;8.3;[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device '];401 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/28/2016;8.5;K K Hotel George; Ireland ; Room was a little on the small side but that is to be expected in central London Shower temp was very dodgy but not a major issue either ;30;1831; Lovely hotel great location for Earls Court Tube extremely comfortable beds which is very important after a day of London sightseeing and very quiet We had a great sleep both nights ;33;2;10;[' Leisure trip ', ' Group ', ' Classic Triple Room ', ' Stayed 2 nights '];401 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/27/2016;8.5;K K Hotel George; Australia ; Nothing really ;4;1831; Very comfy beds and helpful staff Easy walk to the tube station Price we secured was very good Access to computers and printers very helpful ;27;4;10;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];402 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/21/2016;8.5;K K Hotel George; United Kingdom ; Our room had a very pungent smell of tobacco smoke The blackout blind didn t work very well ;20;1831; The hotel and the rooms were very nicely presented Clean and functional Beds were very comfortable ;18;15;5.4;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device '];408 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/14/2016;8.5;K K Hotel George; United Kingdom ; Nothing;2;1831; Beautifully kept large sized garden with separate areas for sitting for drinks afternoon tea Beautiful view of garden from room Very nicely appointed with fresh modern decor in lobby lounge and rooms No problems at all with a small pet Very convenient to well connected Earls Court tube station ;51;16;10;[' With a pet ', ' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device '];415 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/11/2016;8.5;K K Hotel George; United Kingdom ; Air conditioning a little noisy we opened the window instead;11;1831; Well located very clean and good sized rooms Bar food and Breakfast was excellent staff very friendly and helpful Definitely stay again;23;2;9.6;[' Business trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device '];418 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/10/2016;8.5;K K Hotel George; Canada ; They weren t inexpensive ;6;1831; The room was clean the buffet offered plenty of variety and the staff couldn t have been better Leann in particular stood out but everyone was eager to please knowledgeable and responsive;33;1;9.2;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 6 nights '];419 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/6/2016;8.5;K K Hotel George; United States of America ; Farthest room from elevator Uncomfortable bed Air conditioning would not set to our temperature therefore far too hot in room Staff were not interested when told about it We did not sleep well because of it ;38;1831;No Positive;0;1;5.8;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights '];423 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/4/2016;8.5;K K Hotel George; United States of America ; Room needed to be redecorated as it was a little worn looking;13;1831; Location very convenient to tube nice garden area to sit in after a long day breakfast buffet was very nice;21;1;8.3;[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device '];425 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;6/1/2016;8.5;K K Hotel George; Italy ;No Negative;0;1831; Conveniently placed near tube and bus stations and earl s court high street Very quiet since it s in a back lane Nice view from the fifth floor ;30;17;9.2;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 3 nights '];428 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/29/2016;8.5;K K Hotel George; United Kingdom ;Cost of the executive double room same as our usual classic double room clearly dishonest Shower bathroom in executive older and not as helpful as the walk in shower in classic Air con did not work So called mini bar is not a mini bar but a bare fridge We have been here many times but the added cost over 100 a night for fewer facilities amenities has upset us a great deal;75;1831; Like the location as I chose it myself Breakfast is fine and staff very professional and approachable Bed very comfy;21;18;6.7;[' Leisure trip ', ' Group ', ' Executive King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];431 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/22/2016;8.5;K K Hotel George; United Kingdom ; Room was really tiny and I don t think was good value for money but I would definitely stay again in upgraded room as this is a fantastic hotel;30;1831; Everything except the space in the room;8;20;9.2;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device '];438 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/21/2016;8.5;K K Hotel George; United Kingdom ;Tea and coffee facilities in the rooms need updating and improving The old fashioned kettle and a hand full of tea bags and instant coffee sachets might have been okay in the early 90 s but not anymore And would it really be too much to ask for a bottle of water or two in a 200 per night room Instead of draining the tap dry in search of something other than tepid water from the bathroom sink;80;1831; The beds were comfortable and the rooms clean and spacious The staff are polite and helpful ;18;1;7.1;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device '];439 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/20/2016;8.5;K K Hotel George; United States of America ; Small room Some staff weren t very knowledgeable about the area and transportation options ;16;1831; Great selection for breakfast buffet Hotel location great Near Earls Court tube station Loved the huge garden where you could sit and eat or have a beverage Hotel has a bar high is convenient;35;1;8.3;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device '];440 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/18/2016;8.5;K K Hotel George; United States of America ;No Negative;0;1831;We had a lovely stay at K K the staff was wonderful and so thoughtful When we arrived at 7 30 am after travelling all evening they offered the use of the Wellness Center to take showers amazing fluffy towels and freshen up before we headed out for a day of sightseeing since we would not be able to check in until 3pm That really saved the day and we had an amazing day in London;78;2;10;[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 1 night '];442 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/18/2016;8.5;K K Hotel George; United Kingdom ; Wifi is so weak and slow at night heating is weak although it is coming from a controllable central air conditioning bath is a bit small hotel overall is a bit dated breakfast is expensive;36;1831; Good range of foods and drinks for the breakfast location is just next to Earl s court station compact but clean equipment fully provided room friendly staffs;28;22;8.3;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights '];442 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/18/2016;8.5;K K Hotel George; United Kingdom ; Not keen on the steps up to the front door is there an alternative entrance for mobility impaired ;20;1831; Excellent staff breakfast was great with a good choice Room very comfortable Location is brilliant and there is very little street noise ;24;22;10;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 3 nights '];442 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/16/2016;8.5;K K Hotel George; United Kingdom ;No Negative;0;1831; the staff were very helpful with directions and very welcoming The bar area was welcoming as a lone female on business I didn t feel overwhelmed eating drinking there The location to the tube was excellent;37;2;10;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights '];444 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/13/2016;8.5;K K Hotel George; Hong Kong ;Rigid rules Our plane arrives in the morning so I requested early check in in the booking Acknowledgement for the request was sent by booking com but no reply or notice from the hotel We arrived and was greeted by a male tall staff with a stern face and harsh tone I started with good morning I know it s too early but I wonder if you ve got a room for us I booked 2 rooms but was just hoping just to get a room first as my father is disabled and he wetted his pants on the way to airport He replied without even looking at me room is guaranteed at 3pm Leave you baggage over there He then started tossing a baggage tag to me and several more The tags are in pairs 1 to tie on the bag and one for us to keep he untied the first pair and literally tossed the remaining 4 pairs to me as I realised it was self service I did the 5 bags by myself and before I could finish he already rushed me to take my tags I can t believe he could be so rude We brought my father downstairs to the loo and got him changed and went out We were so very exhausted and we couldn t help return to the hotel at around 12nn By then we were offered 1 room I saw the lady pulling the file from a stack and I am not sure if there actually were other rooms available already I let my parents in the room and it was soooo very small even by london s standard My bf and I waited at the lobby when we were being stared by the staff like we offended them We waited till 3pm to get our room and of course our room is not next to my parents even though I requested for it when I made the booking and no reply as well And during the check in I had to fill in exactly the same form again with the same info I have absolutely no idea why when the whole booking was made by me myself I understand that they were only following procedures but all these were just very inhuman and inflexible that exhausted guests in every way;392;1831;Location is good 2 mins to Earl s Court station Loads of restaurants nearby Tranquil neighbourhood Clean Free printing stable wifi;22;9;5.4;[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device '];447 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/13/2016;8.5;K K Hotel George; Canada ; Took several days to fix a broken window curtain so woken very early in the morning by sunlight Temperature fluctuations in the shower from scalding hot to cold was annoying ;32;1831; Very comfortable beds Very quiet despite facing the street Excellent breakfast Great location Friendly staff Close to good restaurants and pubs ;23;16;9.2;[' Leisure trip ', ' Family with older children ', ' Classic Twin Room ', ' Stayed 8 nights ', ' Submitted from a mobile device '];447 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/11/2016;8.5;K K Hotel George; United Kingdom ; Not much room in bathroom and room was basic for the price paid Aside from that the hotel was lovely ;22;1831; Room was basic for the price we paid It was very hot in the room and not very much room in the bathroom Spotlessly clean and good location ;30;1;7.9;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device '];449 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/6/2016;8.5;K K Hotel George; Germany ; Its a hit and miss with the reception staff Sometimes I got lucky with someone who s friendly and provided excellent customer service but sometimes some of them were too green and not that trained The restaurant got very busy during breakfast time so the staff could get unfriendly ;51;1831; I love the location and working Wi Fi;9;9;7.5;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights '];454 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/3/2016;8.5;K K Hotel George; United Kingdom ; The double room we stopped in was a little small but was adequate ;15;1831; The breakfast was excellent The garden at the back of the hotel was superb the children could run around let off steam whilst we had a drink in the garden The staff were very friendly Excellent location ;39;15;9.6;[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights '];457 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/1/2016;8.5;K K Hotel George; Ireland ;No Negative;0;1831; The room was compact but bright and nicely decorated Staff very friendly and helpful Peaceful street but very close to Earl s Court tube Would stay there again;29;1;10;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night '];459 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;5/1/2016;8.5;K K Hotel George; Hong Kong ;Occasional quirky sound from the floor next door or 1 floor above quite disturbing Expensive;17;1831; Good location in Earls court quiet and comfortable ;10;18;8.3;[' Business trip ', ' Solo traveler ', ' Executive King Room ', ' Stayed 4 nights '];459 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/29/2016;8.5;K K Hotel George; United States of America ; the size of the room is small for Americans but pretty standard for Europe ;16;1831;the bed was very comfortable and the linens crispy clean we paid 15pounds for the breakfast buffet which was good with fresh fruit eggs were delicious The price for breakfast is a little high I liked the free coffee in the lobby and the free apples service for breakfast excellent with lots of refills and frquent refills on the hot items which were also really hot;68;1;10;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];461 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/27/2016;8.5;K K Hotel George; Nigeria ; Let me think about it Nothing really ;9;1831;Perfect location in South West London Very serene and close to the tube station about 250 meters Many restaurants around and nice walk to Hyde Park Very clean and decent place;33;15;9.2;[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night '];463 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/26/2016;8.5;K K Hotel George; Australia ; The restaurant changed as we were about to leave and the new menu didn t look very appealing;19;1831; The room was spacious and very clean and the location meant it was incredibly easy for us to get about on the underground ;25;2;9.6;[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 5 nights '];464 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/25/2016;8.5;K K Hotel George; United States of America ; I can t think of a single thing ;10;1831; Refurbished with lovely granite bathroom and very comfortable beds We had the classic twin which like most London hotels was small but adequate We suggest you book the breakfast included rate as it is a superior buffet Location is great as only a block away from the tube with the Picadilly line leading direct to Covent Garden and the theatres ;62;3;10;[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 4 nights '];465 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/24/2016;8.5;K K Hotel George; United Kingdom ; Having stayed here a few times before I thought I would have a pleasant stay as usual I was wrong For a business traveller small things like toiletry and wifi go a long way Those used to be good in this hotel Not when I visited this time I ll look for somewhere else for my next trip ;60;1831;No Positive;0;1;6.3;[' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device '];466 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/21/2016;8.5;K K Hotel George; Australia ; The toilet was too low to the floor The room was much too hot and the Windows did not open ;22;1831; The bed was very comfortable and the bathroom was lovely All very clean ;15;2;8.8;[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device '];469 day;51.4918878;-0.1949706
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom;244;4/18/2016;8.5;K K Hotel George; Italy ; There was nothing in the mini fridge It was empty I would have liked to have had the option of drinking eating something later in the evening before going to bed without having to call room service ;39;1831; The bed was definitely extra comfy slept like a baby The staff was friendly and helpful The printing center was also very convenient ;25;3;8.8;[' Business trip ', ' Solo traveler ', ' Executive King Room ', ' Stayed 1 night '];472 day;51.4918878;-0.1949706
